"Country","Time","Values"
"Country","Time","Values"
"Belgium","2018-Q1","68.7"
"Belgium","2018-Q2","84.0"
"Belgium","2018-Q3","75.2"
"Belgium","2018-Q4","83.8"
"Belgium","2019-Q1","85.3"
"Belgium","2019-Q2","73.3"
"Belgium","2019-Q3","89.2"
"Belgium","2019-Q4","81.2"
"Belgium","2020-Q1","94.1"
"Belgium","2020-Q2","116.2"
"Belgium","2020-Q3","77.5"
"Belgium","2020-Q4","82.5"
"Belgium","2021-Q1","100.6"
"Belgium","2021-Q2","82.2"
"Belgium","2021-Q3","98.5"
"Belgium","2021-Q4","90.2"
"Belgium","2022-Q1","66.6"
"Denmark","2018-Q1","48.3"
"Denmark","2018-Q2","47.6"
"Denmark","2018-Q3","51.8"
"Denmark","2018-Q4","47.5"
"Denmark","2019-Q1","51.8"
"Denmark","2019-Q2","53.1"
"Denmark","2019-Q3","52.7"
"Denmark","2019-Q4","56.1"
"Denmark","2020-Q1","54.9"
"Denmark","2020-Q2","60.8"
"Denmark","2020-Q3","60.9"
"Denmark","2020-Q4","56.0"
"Denmark","2021-Q1","56.7"
"Denmark","2021-Q2","52.1"
"Denmark","2021-Q3","55.2"
"Denmark","2021-Q4","59.5"
"Denmark","2022-Q1","58.8"
"Germany","2018-Q1","437.4"
"Germany","2018-Q2","470.9"
"Germany","2018-Q3","467.8"
"Germany","2018-Q4","473.1"
"Germany","2019-Q1","468.7"
"Germany","2019-Q2","497.8"
"Germany","2019-Q3","490.1"
"Germany","2019-Q4","510.2"
"Germany","2020-Q1",":"
"Germany","2020-Q2",":"
"Germany","2020-Q3",":"
"Germany","2020-Q4",":"
"Germany","2021-Q1","573.6"
"Germany","2021-Q2","496.4"
"Germany","2021-Q3","493.1"
"Germany","2021-Q4","521.4"
"Germany","2022-Q1","482.7"
"Ireland","2018-Q1","29.3"
"Ireland","2018-Q2","27.5"
"Ireland","2018-Q3","35.3"
"Ireland","2018-Q4","31.4"
"Ireland","2019-Q1","30.5"
"Ireland","2019-Q2","29.2"
"Ireland","2019-Q3","35.7"
"Ireland","2019-Q4","33.4"
"Ireland","2020-Q1","47.5"
"Ireland","2020-Q2","118.2"
"Ireland","2020-Q3","23.2"
"Ireland","2020-Q4","43.5"
"Ireland","2021-Q1","48.7"
"Ireland","2021-Q2","17.9"
"Ireland","2021-Q3","33.5"
"Ireland","2021-Q4","37.3"
"Ireland","2022-Q1","37.8"
"Greece","2018-Q1","62.2"
"Greece","2018-Q2","73.2"
"Greece","2018-Q3","68.0"
"Greece","2018-Q4","62.4"
"Greece","2019-Q1","69.1"
"Greece","2019-Q2","68.3"
"Greece","2019-Q3","66.7"
"Greece","2019-Q4","71.8"
"Greece","2020-Q1","73.7"
"Greece","2020-Q2","87.4"
"Greece","2020-Q3","87.6"
"Greece","2020-Q4","72.0"
"Greece","2021-Q1","120.1"
"Greece","2021-Q2","74.9"
"Greece","2021-Q3","82.1"
"Greece","2021-Q4","99.1"
"Greece","2022-Q1","57.0"
"Spain","2018-Q1","1020.4"
"Spain","2018-Q2","973.2"
"Spain","2018-Q3","1065.5"
"Spain","2018-Q4","1056.5"
"Spain","2019-Q1","1027.0"
"Spain","2019-Q2","962.3"
"Spain","2019-Q3","1126.3"
"Spain","2019-Q4","1081.8"
"Spain","2020-Q1","1203.3"
"Spain","2020-Q2","1613.3"
"Spain","2020-Q3","862.4"
"Spain","2020-Q4","957.0"
"Spain","2021-Q1","959.7"
