"Country","Time","Value"
"Belgium","2019",89.2686905622706
"Belgium","2020",88.6912869034886
"Belgium","2021",89.6822291391234
"Canada","2019",91.1414545973356
"Canada","2020",90.0847377007817
"Canada","2021",91.5163549983215
"Denmark","2019",90.0992248110739
"Denmark","2020",89.6877606924921
"Denmark","2021",90.4457616457973
"Finland","2019",90.3248917227906
"Finland","2020",89.9777056560377
"Finland","2021",90.0496866516696
"France","2019",91.890505255557
"France","2020",91.4742528990642
"France","2021",92.2890166046179
"Germany","2019",92.6536539612224
"Germany","2020",91.8289667266466
"Germany","2021",91.5676139550615
"Ireland","2019",90.5896708494574
"Ireland","2020",89.470762368926
"Ireland","2021",90.1967072750867
"Italy","2019",88.4777293230239
"Italy","2020",87.0119072948362
"Italy","2021",87.3419461103206
"Netherlands","2019",91.5164451348978
"Netherlands","2020",91.5196299454862
"Netherlands","2021",92.2050591114408
"Norway","2019",88.9201447634192
"Norway","2020",88.4778533347562
"Norway","2021",89.2199942551223
"Spain","2019",91.6929173130641
"Spain","2020",90.1297624443454
"Spain","2021",91.2772683746991
"Sweden","2019",93.6447606217828
"Sweden","2020",93.8242621694136
"Sweden","2021",93.8676290592418
"Switzerland","2019",95.3952202131681
"Switzerland","2020",95.4306998744689
"Switzerland","2021",94.6457513898958
"United Kingdom","2019",91.9896049365154
"United Kingdom","2020",91.7008442175051
"United Kingdom","2021",91.1433873588096
"United States","2019",89.1275038520801
"United States","2020",87.8779111818314
"United States","2021",87.982922170682
