"Country","Time","Value"
"Belgium","2019",80.3325626277618
"Belgium","2020",80.2811872042533
"Belgium","2021",81.1218878401382
"Canada","2019",83.48022453245
"Canada","2020",82.333240622586
"Canada","2021",83.8874002819726
"Denmark","2019",82.8185796232281
"Denmark","2020",82.9028887510152
"Denmark","2021",83.5158806298267
"Finland","2019",84.8543427184193
"Finland","2020",84.9158553812681
"Finland","2021",85.6123468447654
"France","2019",83.1406069615954
"France","2020",82.5632927605259
"France","2021",84.0035810006313
"Germany","2019",83.3119449334381
"Germany","2020",82.6159981146081
"Germany","2021",83.085173382501
"Ireland","2019",76.6175848253707
"Ireland","2020",75.4784537034883
"Ireland","2021",78.3706946256754
"Italy","2019",67.8138271654184
"Italy","2020",65.9738097097713
"Italy","2021",67.2531759184763
"Netherlands","2019",83.3489706059529
"Netherlands","2020",83.6769075740086
"Netherlands","2021",85.0997779923076
"Norway","2019",83.4848012795553
"Norway","2020",83.3994317832492
"Norway","2021",83.9357093393002
"Spain","2019",82.2521536101181
"Spain","2020",80.8220273519045
"Spain","2021",82.9766245227848
"Sweden","2019",88.6678744408272
"Sweden","2020",88.3710452543052
"Sweden","2021",88.1694518398601
"Switzerland","2019",87.0443437289671
"Switzerland","2020",86.9031770352228
"Switzerland","2021",86.6340623527814
"United Kingdom","2019",81.5172236203442
"United Kingdom","2020",82.5554482767523
"United Kingdom","2021",82.867669728318
"United States","2019",76.0410153807678
"United States","2020",75.1323911885439
"United States","2021",75.3079647682036
